ID,Province_State,Date,Confirmed,Deaths
300,Alabama,11-28-2020,242874,3572
301,Alaska,11-28-2020,30776,119
302,Arizona,11-28-2020,318638,6588
303,Arkansas,11-28-2020,153677,2436
304,California,11-28-2020,1185576,19089
305,Colorado,11-28-2020,220953,2977
306,Connecticut,11-28-2020,112581,4961
307,Delaware,11-28-2020,34170,763
308,Florida,11-28-2020,979020,18363
309,Georgia,11-28-2020,464526,9380
310,Hawaii,11-28-2020,18006,240
311,Idaho,11-28-2020,98500,909
312,Illinois,11-28-2020,705063,12685
313,Indiana,11-28-2020,324537,5594
314,Iowa,11-28-2020,225056,2360
315,Kansas,11-28-2020,155411,1529
316,Kentucky,11-28-2020,171755,1871
317,Louisiana,11-28-2020,230602,6391
318,Maine,11-28-2020,11265,190
319,Maryland,11-28-2020,192858,4569
320,Massachusetts,11-28-2020,219252,10635
321,Michigan,11-28-2020,369801,9357
322,Minnesota,11-28-2020,295001,3535
323,Mississippi,11-28-2020,148387,3769
324,Missouri,11-28-2020,296665,3836
325,Montana,11-28-2020,59796,657
326,Nebraska,11-28-2020,124066,984
327,Nevada,11-28-2020,146317,2095
328,New Hampshire,11-28-2020,19323,517
329,New Jersey,11-28-2020,326473,16942
330,New Mexico,11-28-2020,91852,1504
331,New York,11-28-2020,628375,34477
332,North Carolina,11-28-2020,354514,5210
333,North Dakota,11-28-2020,77232,908
334,Ohio,11-28-2020,399808,6346
335,Oklahoma,11-28-2020,187567,1704
336,Oregon,11-28-2020,70832,885
337,Pennsylvania,11-28-2020,349238,10195
338,Rhode Island,11-28-2020,53954,1346
339,South Carolina,11-28-2020,213120,4346
340,South Dakota,11-28-2020,78280,888
341,Tennessee,11-28-2020,356716,4526
342,Texas,11-28-2020,1207243,21693
343,Utah,11-28-2020,190044,849
344,Vermont,11-28-2020,4005,67
345,Virginia,11-28-2020,230444,4044
346,Washington,11-28-2020,158167,2703
347,West Virginia,11-28-2020,45046,712
348,Wisconsin,11-28-2020,399526,3434
349,Wyoming,11-28-2020,31773,215
350,Alabama,11-29-2020,244993,3572
351,Alaska,11-29-2020,31444,121
352,Arizona,11-29-2020,322774,6624
353,Arkansas,11-29-2020,155026,2449
354,California,11-29-2020,1200624,19116
355,Colorado,11-29-2020,225283,2983
356,Connecticut,11-29-2020,112581,4961
357,Delaware,11-29-2020,34670,763
358,Florida,11-29-2020,985297,18442
359,Georgia,11-29-2020,467564,9424
360,Hawaii,11-29-2020,18082,240
361,Idaho,11-29-2020,99660,913
362,Illinois,11-29-2020,712936,12838
363,Indiana,11-29-2020,329008,5663
364,Iowa,11-29-2020,227179,2375
365,Kansas,11-29-2020,155500,1529
366,Kentucky,11-29-2020,174182,1885
367,Louisiana,11-29-2020,230602,6391
368,Maine,11-29-2020,11288,191
369,Maryland,11-29-2020,194448,4602
370,Massachusetts,11-29-2020,222469,10676
371,Michigan,11-29-2020,378152,9467
372,Minnesota,11-29-2020,304023,3580
373,Mississippi,11-29-2020,149940,3779
374,Missouri,11-29-2020,299095,3844
375,Montana,11-29-2020,60845,669
376,Nebraska,11-29-2020,125323,989
377,Nevada,11-29-2020,149229,2119
378,New Hampshire,11-29-2020,20025,523
379,New Jersey,11-29-2020,329553,16965
380,New Mexico,11-29-2020,93982,1527
381,New York,11-29-2020,634438,34514
